length,width,contrast,dissimilarity,homogenity,energy,correlation,ASM,R,G,B,H,S,V,grey,l,A,V,roundness,solidity,sf1,sf2,sf3,Area,category
1.062819411,0.297825733,129.8715244,5.474163126,0.400548513,0.144804094,0.894445465,0.021268203,144,114,123,112,70,148,125.303488,131,143,123,1.840291855,0.000141217,4.683352367,1.312379916,0.913295442,0.226935607,121
1.08646271,0.296308012,145.3220751,6.014229412,0.369386243,0.121167259,0.889053022,0.015024963,144,113,124,110,71,147,124.6274721,130,143,124,1.900300911,0.000136385,4.446637592,1.212719343,0.966841345,0.244333541,121
1.073032906,0.283675366,163.9428942,6.267662597,0.403373143,0.144600035,0.878825896,0.021197655,143,113,122,118,69,147,124.9960826,131,143,122,1.893950735,0.000149664,4.755958751,1.257322428,0.944214445,0.225618632,121
0.975347205,0.308654179,130.8439018,5.322250113,0.406053674,0.146318157,0.896108263,0.021771148,146,115,123,114,71,150,126.8914387,133,143,123,1.779632201,0.000141374,4.40693208,1.394598759,0.936530283,0.221321134,121
0.999030637,0.308342789,129.3810603,5.450488089,0.403260472,0.136085748,0.887425722,0.01895311,145,116,122,114,67,149,127.2886364,133,143,122,1.768612346,0.000140943,4.46499845,1.378085941,0.925284388,0.223747141,121
1.123501211,0.296308012,136.875003,5.490820554,0.393601325,0.131843318,0.898180711,0.017642485,145,114,123,114,70,148,125.9657343,131,143,123,1.94258502,0.000140944,4.754694037,1.253985241,0.904199731,0.236293062,121
1.023681071,0.308337672,79.81189662,4.294636217,0.438354063,0.156517349,0.935415111,0.024705857,143,114,123,113,69,148,125.2638112,131,143,123,1.75355609,0.000144892,4.46452443,1.344736274,0.925397987,0.229292299,121
0.936690737,0.307386566,144.9064154,5.688291745,0.413401357,0.153468083,0.893552498,0.023889548,143,114,122,115,70,149,125.8941028,131,143,122,1.696978191,0.000142117,4.48213508,1.470867658,0.924614115,0.208983157,121
1.025060066,0.300371639,129.7334891,5.450626987,0.408816779,0.152532043,0.89694746,0.023591893,146,115,123,116,70,149,126.9837413,132,143,123,1.766316513,0.000140604,4.720249462,1.383166817,0.898475972,0.217162265,121
1.032534403,0.297014429,138.7075342,5.699976209,0.393201993,0.134313534,0.89333008,0.018368618,144,115,123,115,68,148,126.1737892,132,143,123,1.98401309,0.000136438,4.880856433,1.404006278,0.878732649,0.211547792,121
1.001742123,0.302422393,142.8277683,5.717128113,0.382391112,0.11942367,0.893442912,0.014493171,141,112,122,114,69,146,123.8342657,129,143,122,1.905915394,0.000140417,4.488240252,1.35498381,0.938513018,0.223192625,121
